TITLE,AUTHOR,FILEPATH
With British Guns in Italy,['Hugh Dalton'],./data/1/0/1/0/10107/10107/10107.txt
A Treatise Of Daunses,['Anonymous'],./data/1/0/1/0/10108/10108.txt
The Unspeakable Gentleman ,['John P. Marquand'],./data/1/0/1/0/10109/10109.txt
The Postmaster's Daughter ,['Louis Tracy'],./data/1/0/1/1/10110/10110.txt
Boys and girls from Thackeray ,['Kate Dickinson Sweetser'],./data/1/0/1/1/10111/10111.txt
American Political Ideas Viewed From The Standpoint Of Universal History,['John Fiske'],./data/1/0/1/1/10112/10112/10112.txt
"The Great Events by Famous Historians, Vol. 2",['Various'],./data/1/0/1/1/10114/10114.txt
All Saints' Day and Other Sermons,['Charles Kingsley'],./data/1/0/1/1/10116/10116.txt
The Folk-lore of Plants,['T.F. Thiselton-Dyer'],./data/1/0/1/1/10118/10118/10118.txt
Adonais,['Shelley'],./data/1/0/1/1/10119/10119/10119.txt
The First Men In The Moon,['H.G. Wells'],./data/1/0/1/1013/1013.txt
The Lure of the Dim Trails,[' B.M. Bower'],./data/1/0/1/1014/1014.txt
The Oregon Trail,['Francis Parkman Jr.'],./data/1/0/1/1015/1015.txt
On the Improvement of the Understanding,['Baruch Spinoza  Benedict de Spinoza'],./data/1/0/1/1016/1016.txt
The Soul of Man,['Oscar Wilde'],./data/1/0/1/1017/1017-0.txt
Poems,"[' Currer', 'Ellis', 'Acton Bell']",./data/1/0/1/1019/1019.txt
England of My Heart--Spring,['Edward Hutton'],./data/1/0/1/2/10120/10120/10120.txt
Oriental Literature,['Anonymous'],./data/1/0/1/2/10121/10121.txt
Fairies and Fusiliers,['Robert Graves'],./data/1/0/1/2/10122/10122.txt
Aunt Jane's Nieces,['Edith Van Dyne'],./data/1/0/1/2/10123/10123.txt
Aunt Jane's Nieces and Uncle John,['Edith Van Dyne'],./data/1/0/1/2/10124/10124.txt
The Best Letters of Charles Lamb,['Charles Lamb'],./data/1/0/1/2/10125/10125/10125.txt
Home-Life of the Lancashire Factory Folk during the Cotton Famine,['Edwin Waugh'],./data/1/0/1/2/10126/10126.txt
Abducted to Oz,"['Bob Evans', 'Chris Dulabone']",./data/1/0/1/2/10127/10127.txt
"The Great Events by Famous Historians, Vol. 17",['Charles Francis Horne'],./data/1/0/1/2/10128/10128/10128.txt
Excellent Women,['Various'],./data/1/0/1/2/10129/10129/10129.txt
Books for Children,"['Charles', 'Mary Lamb']",./data/1/0/1/3/10130/10130/10130.txt
Required Poems for Reading and Memorizing,['Anonymous'],./data/1/0/1/3/10131/10131/10131.txt
The Sowers,['Henry Seton Merriman'],./data/1/0/1/3/10132/10132/10132.txt
"The Vigil of Venus and Other Poems by ""Q""",['Q'],./data/1/0/1/3/10133/10133/10133.txt
"John Wesley, Jr.",['Dan B. Brummitt'],./data/1/0/1/3/10134/10134.txt
"The Great English Short-Story Writers, Vol. 1",['Various'],./data/1/0/1/3/10135/10135.txt
The Book of Household Management,['Mrs. Isabella Beeton'],./data/1/0/1/3/10136/10136.txt
"The Atlantic Monthly, Volume 1, Issue 2, December, 1857",['Various'],./data/1/0/1/3/10138/10138.txt
The Faith of the Millions (2nd series),['George Tyrrell'],./data/1/0/1/3/10139/10139.txt
Rhetoric and Poetry in the Renaissance,['Donald Lemen Clark'],./data/1/0/1/4/10140/10140/10140-0.txt
"A Discourse on the Life, Character and Writings of Gulian Crommelin",['William Cullen Bryant'],./data/1/0/1/4/10141/10141.txt
Maezli,['Johanna Spyri'],./data/1/0/1/4/10142/10142/10142.txt
"Punch, Volume 153, July 11, 1917",['Various'],./data/1/0/1/4/10143/10143/10143.txt
"Punchinello, Vol. II., No. 35, November 26, 1870",['Various'],./data/1/0/1/4/10144/10144/10144.txt
Turkey: A Past and a Future,['Arnold Joseph Toynbee'],./data/1/0/1/4/10145/10145.txt
Reminiscences of Pioneer Days in St. Paul,['Frank Moore'],./data/1/0/1/4/10146/10146.txt
America's War for Humanity,['Thomas Herbert Russell'],./data/1/0/1/4/10147/10147.txt
The Merry Adventures of Robin Hood,['Howard Pyle'],./data/1/0/1/4/10148/10148.txt
Home as Found,['James Fenimore Cooper'],./data/1/0/1/4/10149/10149.txt
Dracula's Guest,['Bram Stoker'],./data/1/0/1/5/10150/10150.txt
"The Great Events by Famous Historians, Volume 5",['Various'],./data/1/0/1/5/10151/10151.txt
England and the War,['Walter Raleigh'],./data/1/0/1/5/10159/10159/10159.txt
English Poets of the Eighteenth Century,['Ernest Bernbaum'],./data/1/0/1/6/10161/10161/10161.txt
"Dio's Rome, Vol. III",['Cassius Dio'],./data/1/0/1/6/10162/10162/10162.txt
Mohammedanism,['C. Snouck Hurgronje'],./data/1/0/1/6/10163/10163/10163.txt
The Black Creek Stopping-House,['Nellie McClung'],./data/1/0/1/6/10164/10164.txt
Across the Zodiac,['Percy Greg'],./data/1/0/1/6/10165/10165.txt
What Germany Thinks,['Thomas F.A. Smith'],./data/1/0/1/6/10166/10166.txt
The Complete Works of William Shakespeare,['William Shakespeare'],./data/1/0/100/100.txt
Hacker Crackdown,['Bruce Sterling'],./data/1/0/101/101.txt
The Tragedy of Pudd'nhead Wilson,['Mark Twain '],./data/1/0/102/102.txt
Around the World in 80 Days,['Jules Verne'],./data/1/0/103/103.txt
Franklin Delano Roosevelt's First Inaugural Address,['Franklin Delano Roosevelt'],./data/1/0/104/104.txt
Persuasion,['Jane Austen'],./data/1/0/105/105.txt
Jungle Tales of Tarzan,['Edgar Rice Burroughs'],./data/1/0/106/106.txt
Far from the Madding Crowd,['Thomas Hardy'],./data/1/0/107/107.txt
