TITLE,AUTHOR,FILEPATH,BOOKURL
Cabbages and Kings,['O. Henry'],./data/2/7/7/2777/2777.txt,http://www.iblist.com/book4977.htm
Can You Forgive Her?,['Anthony Trollope'],./data/1/9/5/0/19500/19500.txt,http://www.iblist.com/book58854.htm
Candide,['Voltaire'],./data/1/9/9/4/19942/19942.txt,http://www.iblist.com/book9913.htm
Captain Bayley's Heir:,['G.A. Henty'],./data/2/8/8/5/28857/28857.txt,http://www.iblist.com/book50799.htm
Captain Blood,['Rafael Sabatini'],./data/1/9/6/1965/1965.txt,http://www.iblist.com/book13160.htm
Captains Courageous,['Rudyard Kipling'],./data/2/1/8/2186/2186.txt,http://www.iblist.com/book14011.htm
Captains Courageous,['Rudyard Kipling'],./data/2/2/2/2225/2225.txt,http://www.iblist.com/book14011.htm
Captives of the Flame,['Samuel R. Delany'],./data/4/1/9/0/41905/41905.txt,http://www.iblist.com/book3372.htm
Carmilla,['J. Sheridan LeFanu'],./data/1/0/0/0/10007/10007.txt,http://www.iblist.com/book13058.htm
"Carnacki, The Ghost Finder",['William Hope Hodgson'],./data/1/0/8/3/10832/10832.txt,http://www.iblist.com/book3600.htm
Casanova's Homecoming,['Arthur Schnitzler'],./data/9/3/1/9310/9310.txt,http://www.iblist.com/book47494.htm
Catriona,['Robert Louis Stevenson'],./data/5/8/589/589-0.txt,http://www.iblist.com/book3880.htm
Chamber Music,['James Joyce'],./data/2/8/1/2817/2817.txt,http://www.iblist.com/book1010.htm
Chance,['Joseph Conrad'],./data/1/4/7/1476/1476.txt,http://www.iblist.com/book1115.htm
Chance,['Joseph Conrad'],./data/2/3/5/0/23506/23506.txt,http://www.iblist.com/book1115.htm
Chronicles of Avonlea,['Lucy Maud Montgomery'],./data/1/3/5/1354/1354.txt,http://www.iblist.com/book37287.htm
Circus,['Alan Edward Nourse'],./data/2/2/8/7/22875/22875.txt,http://www.iblist.com/book69954.htm
"Clarissa, Or The History Of A Young Lady, Volume 8",['Samuel Richardson'],./data/1/2/1/8/12180/12180.txt,http://www.iblist.com/book20209.htm
Collected Poems,['Alfred Noyes'],./data/3/0/5/0/30501/30501.txt,http://www.iblist.com/book1019.htm
Collected Poems,['Alfred Noyes'],./data/3/0/5/9/30599/30599.txt,http://www.iblist.com/book1019.htm
Colonel Chabert,['Honore de Balzac'],./data/1/9/5/1954/1954.txt,http://www.iblist.com/book52981.htm
Colonel Thorndyke's Secret,['G.A. Henty'],./data/8/1/5/8155/8155.txt,http://www.iblist.com/book50800.htm
Coming Attraction,['Fritz Leiber'],./data/5/1/0/8/51082/51082.txt,http://www.iblist.com/book59409.htm
Condemned as a Nihilist,['George Alfred Henty'],./data/2/6/0/9/26090/26090.txt,http://www.iblist.com/book50801.htm
Contamination Crew,['Alan Edward Nourse'],./data/3/1/9/3/31932/31932.txt,http://www.iblist.com/book69959.htm
Cornelli,['Johanna Spyri'],./data/6/3/8/6380/6380.txt,http://www.iblist.com/book18868.htm
Cost of Living,['Robert Sheckley'],./data/2/9/4/5/29458/29458.txt,http://www.iblist.com/book27927.htm
Country Sentiment,['Robert Graves'],./data/1/4/1/1418/1418.txt,http://www.iblist.com/book11215.htm
Cousin Betty,['Honore de Balzac'],./data/1/7/4/1749/1749.txt,http://www.iblist.com/book52982.htm
Creatures of the Abyss,['Murray Leinster'],./data/4/2/9/0/42901/42901.txt,http://www.iblist.com/book33844.htm
Crime and Punishment,['Fyodor Dostoevsky'],./data/2/5/5/2554/2554.txt,http://www.iblist.com/book455.htm
Crome Yellow,['Aldous Huxley'],./data/1/9/9/1999/1999.txt,http://www.iblist.com/book14002.htm
Crucial Instances,['Edith Wharton'],./data/7/5/1/7516/7516.txt,http://www.iblist.com/book3028.htm
Cry from a Far Planet,['Tom Godwin'],./data/2/3/7/9/23799/23799.txt,http://www.iblist.com/book10542.htm
Cyrano de Bergerac,['Edmond Rostand'],./data/1/2/5/1254/1254.txt,http://www.iblist.com/book26156.htm
Cyrano de Bergerac,['Edmond Rostand'],./data/4/1/9/4/41949/41949.txt,http://www.iblist.com/book26156.htm
Daddy Long-Legs,['Jean Webster'],./data/4/0/4/2/40426/40426.txt,http://www.iblist.com/book27487.htm
Daddy-Long-Legs,['Jean Webster'],./data/1/5/157/157.txt,http://www.iblist.com/book27487.htm
Daisy Miller,['Henry James'],./data/2/0/208/208.txt,http://www.iblist.com/book1179.htm
Daniel Deronda,['George Eliot'],./data/7/4/6/7469/7469.txt,http://www.iblist.com/book14949.htm
David Copperfield,['Charles Dickens'],./data/7/6/766/766.txt,http://www.iblist.com/book2302.htm
David and the Phoenix,['Edward Ormondroyd'],./data/2/7/9/2/27922/27922.txt,http://www.iblist.com/book32293.htm
Dead Ringer,['Lester del Rey'],./data/3/0/2/3/30234/30234.txt,http://www.iblist.com/book36170.htm
Dead Souls,['Nikolai Vasilievich Gogol'],./data/1/0/8/1081/1081.txt,http://www.iblist.com/book16374.htm
Deathworld,['Harry Harrison'],./data/2/8/3/4/28346/28346.txt,http://www.iblist.com/book3390.htm
Democracy An American Novel,['Henry Adams'],./data/2/8/1/2815/2815.txt,http://www.iblist.com/book58796.htm
Derelict,['Alan Edward Nourse'],./data/3/1/9/7/31976/31976.txt,http://www.iblist.com/book69958.htm
Desert Gold,['Zane Grey'],./data/5/0/502/502.txt,http://www.iblist.com/book19837.htm
Diplomatic Immunity,['Robert Sheckley'],./data/3/2/0/4/32040/32040.txt,http://www.iblist.com/book58644.htm
Doctor Grimshawe's Secret,['Nathaniel Hawthorne'],./data/7/1/8/7183/7183.txt,http://www.iblist.com/book16549.htm
Dombey and Son,['Charles Dickens'],./data/8/2/821/821.txt,http://www.iblist.com/book33144.htm
Don Carlos,['Frederich Schiller'],./data/6/7/8/6789/6789.txt,http://www.iblist.com/book49931.htm
Don Quixote,['Miguel de Cervantes Saavedra'],./data/9/9/996/996.txt,http://www.iblist.com/book1566.htm
Doorstep,['Keith Laumer'],./data/5/1/5/0/51509/51509.txt,http://www.iblist.com/book69058.htm
Dorothy and the Wizard in Oz,['L Frank. Baum'],./data/1/9/4/5/19450/19450.txt,http://www.iblist.com/book1959.htm
Dorothy and the Wizard in Oz,['L. Frank Baum'],./data/2/2/5/6/22566/22566.txt,http://www.iblist.com/book1959.htm
Dorothy and the Wizard in Oz,['L. Frank Baum.'],./data/4/2/420/420.txt,http://www.iblist.com/book1959.htm
Down and Out in the Magic Kingdom,['Cory Doctorow'],./data/8/0/8/8086/8086.txt,http://www.iblist.com/book18885.htm
Dracula,['Bram Stoker'],./data/3/4/345/345.txt,http://www.iblist.com/book37.htm
Dracula,['Bram Stoker'],./data/4/5/8/3/45839/45839.txt,http://www.iblist.com/book37.htm
Dracula's Guest,['Bram Stoker'],./data/1/0/1/5/10150/10150.txt,http://www.iblist.com/book1245.htm
Drum Taps,['Walt Whitman'],./data/8/8/0/8801/8801.txt,http://www.iblist.com/book60723.htm
Dubliners,['James Joyce'],./data/2/8/1/2814/2814-0.txt,http://www.iblist.com/book1011.htm
Eastern Standard Tribe,['Cory Doctorow'],./data/1/7/0/2/17028/17028/17028.txt,http://www.iblist.com/book18886.htm
Edward II.,['Christopher Marlowe'],./data/2/0/2/8/20288/20288.txt,http://www.iblist.com/book13949.htm
Egmont,['Johann Wolfgang Von Goethe'],./data/1/9/4/1945/1945.txt,http://www.iblist.com/book58674.htm
Eight Cousins,['Louisa M. Alcott'],./data/2/7/2/2726/2726.txt,http://www.iblist.com/book12901.htm
Eight Cousins,['Louisa May Alcott'],./data/3/8/5/6/38567/38567.txt,http://www.iblist.com/book12901.htm
El Dorado,['Baroness Orczy'],./data/1/7/5/1752/1752.txt,http://www.iblist.com/book51660.htm
Emma,['Jane Austen'],./data/1/5/158/158.txt,http://www.iblist.com/book221.htm
Empire,['Clifford Donald Simak'],./data/2/8/2/1/28215/28215.txt,http://www.iblist.com/book33587.htm
End as a Hero,['Keith Laumer'],./data/5/1/2/6/51267/51267.txt,http://www.iblist.com/book31287.htm
End as a World,['F.L. Wallace'],./data/5/0/9/5/50959/50959.txt,http://www.iblist.com/book36175.htm
Enoch Soames,['Max Beerbohm'],./data/7/6/760/760.txt,http://www.iblist.com/book14403.htm
Erewhon,['Samuel Butler'],./data/1/9/0/1906/1906.txt,http://www.iblist.com/book15299.htm
Erewhon Revisited,['Samuel Butler'],./data/1/9/7/1971/1971.txt,http://www.iblist.com/book60546.htm
Ethan Frome,['Edith Wharton'],./data/4/5/1/4517/4517.txt,http://www.iblist.com/book3002.htm
Eugenie Grandet,['Honore de Balzac'],./data/1/7/1/1715/1715.txt,http://www.iblist.com/book67735.htm
Evelina,['Fanny Burney'],./data/6/0/5/6053/6053.txt,http://www.iblist.com/book62231.htm
Every Man In His Humor,['Ben Jonson'],./data/5/3/3/5333/5333.txt,http://www.iblist.com/book20448.htm
Every Man In His Humour,['Ben Jonson'],./data/3/6/9/3694/3694.txt,http://www.iblist.com/book20448.htm
Evolution,['Joseph Le Conte'],./data/4/6/8/3/46834/46834.txt,http://www.iblist.com/book2397.htm
Fables in Slang,['George Ade'],./data/2/5/3/2/25322/25322.txt,http://www.iblist.com/book67310.htm
Facing Death,['G.A. Henty'],./data/3/1/1/2/31128/31128.txt,http://www.iblist.com/book50908.htm
Fairies and Fusiliers,['Robert Graves'],./data/1/0/1/2/10122/10122.txt,http://www.iblist.com/book11213.htm
Fairy and Folk Tales of the Irish Peasantry,['William Butler Yeats'],./data/3/3/8/8/33887/33887.txt,http://www.iblist.com/book25346.htm
Falcons of Narabedla,['Marion Zimmer Bradley'],./data/5/0/5/6/50566/50566.txt,http://www.iblist.com/book57681.htm
Fanshawe,['Nathaniel Hawthorne'],./data/7/0/8/7085/7085.txt,http://www.iblist.com/book13700.htm
Far from the Madding Crowd,['Thomas Hardy'],./data/1/0/107/107.txt,http://www.iblist.com/book1032.htm
Far from the Madding Crowd,['Thomas Hardy'],./data/2/27/27.txt,http://www.iblist.com/book1032.htm
Father Goriot,['Honore de Balzac'],./data/1/2/3/1237/1237.txt,http://www.iblist.com/book4271.htm
Father Sergius,['Leo Tolstoy'],./data/9/8/985/985.txt,http://www.iblist.com/book29393.htm
Fathers and Sons,['Ivan Sergeevich Turgenev'],./data/4/7/9/3/47935/47935-8.txt,http://www.iblist.com/book4434.htm
Faust,['Johann Wolfgang Von Goethe'],./data/1/4/5/9/14591/14591.txt,http://www.iblist.com/book57970.htm
"Felix Holt, The Radical",['George Eliot'],./data/4/0/8/8/40882/40882.txt,http://www.iblist.com/book14953.htm
